y_pred,prob_4,prob_6,prob_9,prob_10,prob_11,prob_13,prob_14,prob_941,prob_961,prob_1121
10,0.035,0.2,0.005,0.385,0.225,0.025,0.095,0.0,0.005,0.025
14,0.105,0.065,0.005,0.005,0.0,0.0,0.81,0.0,0.0,0.01
1121,0.005,0.035,0.0,0.025,0.0,0.0,0.4,0.015,0.0,0.52
14,0.025,0.045,0.1,0.01,0.005,0.0,0.62,0.005,0.16,0.03
13,0.0,0.025,0.17,0.04,0.015,0.59,0.03,0.0,0.085,0.045
6,0.045,0.625,0.015,0.03,0.01,0.045,0.205,0.0,0.01,0.015
13,0.01,0.085,0.195,0.2,0.03,0.435,0.015,0.005,0.025,0.0
14,0.0,0.045,0.005,0.065,0.01,0.005,0.505,0.005,0.0,0.36
13,0.0,0.085,0.07,0.16,0.045,0.55,0.035,0.005,0.0,0.05
10,0.0,0.08,0.23,0.245,0.085,0.2,0.105,0.0,0.005,0.05
961,0.01,0.005,0.085,0.0,0.0,0.03,0.045,0.0,0.82,0.005
9,0.005,0.01,0.9,0.005,0.0,0.005,0.035,0.0,0.035,0.005
13,0.0,0.025,0.205,0.035,0.01,0.565,0.03,0.0,0.085,0.045
941,0.2,0.07,0.01,0.01,0.035,0.01,0.03,0.595,0.04,0.0
10,0.005,0.075,0.015,0.46,0.18,0.205,0.04,0.01,0.0,0.01
10,0.0,0.055,0.005,0.655,0.18,0.08,0.01,0.005,0.005,0.005
14,0.0,0.02,0.0,0.0,0.0,0.005,0.97,0.0,0.0,0.005
941,0.05,0.01,0.0,0.005,0.01,0.0,0.035,0.875,0.01,0.005
14,0.15,0.01,0.05,0.0,0.0,0.1,0.475,0.145,0.07,0.0
13,0.0,0.025,0.07,0.225,0.045,0.57,0.015,0.005,0.0,0.045
14,0.04,0.03,0.0,0.005,0.005,0.0,0.885,0.0,0.02,0.015
10,0.005,0.04,0.0,0.71,0.22,0.015,0.005,0.005,0.0,0.0
14,0.0,0.005,0.0,0.01,0.0,0.0,0.985,0.0,0.0,0.0
6,0.065,0.705,0.02,0.035,0.04,0.0,0.115,0.015,0.0,0.005
4,0.63,0.03,0.015,0.0,0.01,0.005,0.125,0.175,0.01,0.0
13,0.03,0.1,0.195,0.01,0.0,0.39,0.06,0.025,0.185,0.005
961,0.0,0.005,0.02,0.005,0.0,0.0,0.065,0.0,0.885,0.02
14,0.02,0.08,0.015,0.03,0.01,0.01,0.445,0.035,0.01,0.345
9,0.0,0.005,0.955,0.005,0.0,0.02,0.015,0.0,0.0,0.0
14,0.03,0.085,0.005,0.045,0.0,0.005,0.49,0.005,0.025,0.31
9,0.0,0.0,0.905,0.005,0.0,0.015,0.005,0.0,0.07,0.0
14,0.005,0.04,0.015,0.04,0.025,0.02,0.505,0.015,0.01,0.325
6,0.06,0.81,0.0,0.025,0.005,0.0,0.085,0.01,0.0,0.005
9,0.005,0.02,0.64,0.0,0.005,0.23,0.005,0.0,0.095,0.0
961,0.02,0.01,0.095,0.0,0.0,0.015,0.015,0.01,0.835,0.0
961,0.09,0.125,0.045,0.0,0.005,0.135,0.14,0.055,0.4,0.005
6,0.05,0.54,0.01,0.08,0.05,0.04,0.195,0.03,0.005,0.0
