y_pred,prob_4,prob_6,prob_9,prob_10,prob_11,prob_13,prob_14,prob_941,prob_961,prob_1121
14,0.029255435,0.07081745,0.04105097,0.1887056,0.015189139,0.1712414,0.36307487,0.0014953034,0.037045345,0.08212452
14,0.030816818,0.05544353,0.048426427,0.17457706,0.014190398,0.19658001,0.3557418,0.0014075086,0.039681017,0.08313545
14,0.023848189,0.019222721,0.16123721,0.08007123,0.007493712,0.11657068,0.4089894,0.0021902493,0.0876184,0.09275826
14,0.021352468,0.14521748,0.15404789,0.055639155,0.016753301,0.019643946,0.3738181,0.023431364,0.1243382,0.065758094
11,0.05149758,0.17843252,0.05017396,0.16056468,0.18608281,0.12195165,0.10280064,0.057928585,0.043748055,0.0468195
14,0.039043315,0.100345805,0.030381676,0.21753216,0.022128992,0.22387213,0.26528758,0.0017075612,0.031119714,0.06858111
10,0.04991995,0.2123212,0.017760657,0.24695721,0.03863419,0.21846676,0.14456992,0.002817834,0.023147548,0.04540471
9,0.020411067,0.010677969,0.3283743,0.037384506,0.0056036846,0.060222924,0.3056172,0.0045217006,0.1499534,0.07723322
14,0.02409206,0.019765517,0.16643594,0.07839205,0.00758865,0.11090988,0.4073915,0.002347676,0.09138318,0.091693476
14,0.027869742,0.22116543,0.044898387,0.13498764,0.056291703,0.06268291,0.3235075,0.013579072,0.04355701,0.07146064
9,0.018475235,0.004317552,0.50770444,0.015507067,0.0047344402,0.03890609,0.15533267,0.008128257,0.19253534,0.05435894
9,0.03168995,0.028206307,0.5246826,0.009395707,0.016513756,0.011308177,0.049548235,0.14533319,0.16483304,0.018489067
11,0.05261484,0.17288156,0.046072934,0.16504383,0.1981347,0.12822488,0.09085453,0.05916568,0.04176833,0.045238703
13,0.061001867,0.14085616,0.044017043,0.19523276,0.033376213,0.23162127,0.18729346,0.003966769,0.044137985,0.058496427
10,0.019680148,0.18636602,0.0069591813,0.29851905,0.09579282,0.1200875,0.18913881,0.0045732837,0.016032249,0.062850975
6,0.07109245,0.35499722,0.019136112,0.19987927,0.0729367,0.16650426,0.055681232,0.010403796,0.025983708,0.023385148
9,0.018297324,0.0064709582,0.44005162,0.022053365,0.0048223166,0.04286549,0.21521221,0.0065049306,0.17964195,0.064079866
941,0.037852414,0.0050118016,0.13340133,0.0046938863,0.061128024,0.018229453,0.0019056662,0.68625945,0.04693159,0.0045863814
9,0.018437574,0.003959442,0.49845093,0.016206646,0.004730077,0.04409453,0.16294296,0.007537399,0.18608049,0.05756001
14,0.024031073,0.019338788,0.17122577,0.07660235,0.0075170263,0.109138876,0.40502745,0.002400816,0.09328406,0.0914337
14,0.030231375,0.049311098,0.05525576,0.16331156,0.0132347895,0.19108547,0.36794215,0.0014357684,0.043097205,0.08509482
6,0.06365345,0.3338918,0.017233405,0.21725518,0.06257393,0.174704,0.07172392,0.0073520374,0.024323447,0.027288854
9,0.018270185,0.0063773594,0.44367817,0.02166809,0.0048114303,0.04240028,0.21205795,0.0065980684,0.18058474,0.063553624
6,0.06561317,0.36054072,0.013191319,0.20675129,0.068257645,0.19003713,0.04763425,0.007292797,0.01899196,0.021689644
9,0.048902098,0.19411421,0.20218737,0.05453148,0.07721422,0.036030937,0.13325913,0.1356359,0.08398167,0.03414292
13,0.090166636,0.24201939,0.028153865,0.18084796,0.06271394,0.26977733,0.056959625,0.007586373,0.0334061,0.028368855
9,0.04175575,0.08903436,0.33033946,0.031086065,0.024891095,0.020441163,0.12635954,0.10306732,0.19748688,0.03553833
10,0.038388368,0.15812397,0.018225294,0.25358957,0.027788077,0.21181,0.21030982,0.0017730303,0.022068987,0.057922896
9,0.018495139,0.0050533186,0.48437804,0.017757911,0.004757925,0.04075729,0.17542008,0.0074659213,0.1881474,0.057766963
14,0.029905811,0.06243589,0.04139445,0.18687473,0.014747753,0.19313012,0.3523732,0.0013452239,0.035787534,0.082005225
9,0.107735015,0.027506828,0.45505047,0.0147868525,0.044819638,0.08316381,0.01030427,0.08670587,0.15797833,0.0119487755
10,0.03911267,0.17468774,0.016843637,0.25735974,0.029588876,0.20916304,0.19535312,0.0018718444,0.021011828,0.05500754
10,0.045859482,0.23785852,0.014058861,0.25684607,0.03899831,0.20990214,0.13240786,0.0025885005,0.01901695,0.04246331
9,0.12702116,0.05077362,0.3688515,0.025946865,0.055922534,0.11650626,0.014672991,0.07250288,0.15262213,0.015180095
13,0.14180651,0.11933873,0.16396156,0.07686726,0.06348768,0.24261689,0.036341004,0.024339277,0.10624881,0.024992295
13,0.06495259,0.1410388,0.026771007,0.21278542,0.03773898,0.30464923,0.132154,0.0028340723,0.03055126,0.046524562
14,0.018558921,0.28957078,0.042066213,0.109329514,0.03432814,0.030827485,0.36497813,0.012089394,0.04111874,0.057132717
