y_pred,prob_4,prob_6,prob_9,prob_10,prob_11,prob_13,prob_14,prob_941,prob_961,prob_1121
10,0.018653013,0.12853986,0.010472506,0.64493287,0.085716695,0.03033613,0.04534184,0.021916129,0.0076278206,0.0064631384
14,0.016698932,0.010145991,0.0008187973,0.0033608328,0.005688604,0.0006330507,0.95369416,0.0021258667,0.001585404,0.0052483473
1121,0.023055838,0.056228317,0.0056162714,0.040154107,0.012926229,0.006498616,0.28436223,0.015243205,0.011873936,0.5440413
14,0.021395424,0.011584634,0.027994873,0.008544646,0.0058626994,0.010042904,0.8496347,0.005844537,0.050802607,0.008292978
13,0.0050476072,0.0036880302,0.050212856,0.008120034,0.0034120253,0.9000856,0.0029125998,0.0015149509,0.014672943,0.010333379
4,0.3655825,0.29455224,0.071723685,0.031056283,0.058297466,0.037603945,0.07619054,0.03898592,0.012413509,0.013593929
9,0.007544198,0.08778709,0.6329904,0.090734966,0.009529455,0.14142796,0.003067499,0.017707048,0.0059361276,0.0032752536
1121,0.01242262,0.020646,0.007814208,0.051977884,0.037764724,0.020431994,0.32893878,0.034811158,0.016271437,0.46892118
13,0.0023846766,0.01321728,0.054099575,0.076816164,0.012482421,0.81759465,0.0052733384,0.008328882,0.0032358025,0.0065671927
9,0.015878726,0.041023657,0.35426742,0.11089943,0.01628191,0.20450889,0.10298418,0.006942946,0.018015912,0.12919697
961,0.001078305,0.0021840017,0.0070475033,0.0028028407,0.0010824469,0.0028553838,0.011718411,0.00240491,0.95903194,0.009794273
9,0.0013503557,0.000669166,0.9856259,0.00066923874,0.00047142047,0.0027507916,0.0046937056,0.00039481997,0.0027459518,0.0006286844
13,0.009835447,0.007186262,0.10242456,0.015822174,0.0064627184,0.80302453,0.0054510026,0.0029519359,0.028590754,0.018250618
941,0.22349475,0.04763798,0.008150566,0.022398839,0.05796055,0.009783338,0.05636838,0.55121076,0.016426452,0.006568404
10,0.0095894495,0.05598355,0.011749731,0.7265209,0.087350406,0.083819605,0.00806884,0.0040971423,0.0057815257,0.007038868
10,0.001463896,0.020953335,0.005528409,0.91907024,0.0067321975,0.023154315,0.0025943846,0.0046574767,0.0021183556,0.013727351
14,0.0023324026,0.0010855977,0.00023073451,0.0015100765,0.0007764561,0.00053251063,0.9898211,0.0011156235,0.00059069577,0.0020048588
941,0.02006663,0.0018892315,0.00030851917,0.0013352754,0.010370776,0.0005835545,0.0062925727,0.9519011,0.00138866,0.005863723
14,0.0714959,0.0056105787,0.01718816,0.005256197,0.014284678,0.0874278,0.6995976,0.04207944,0.009517072,0.047542613
13,0.0032067986,0.02020344,0.06796748,0.18762742,0.016326599,0.67793924,0.0028616756,0.010893911,0.004232324,0.008741132
14,0.06426018,0.0138057405,0.0031518794,0.006235352,0.00873186,0.00091652427,0.89072025,0.0032631503,0.0024335543,0.006481561
10,0.00125337,0.021063566,0.00889343,0.9240176,0.009707329,0.014892854,0.0023756297,0.007736652,0.0020183083,0.008041198
14,0.0026391915,0.00093731476,0.0002729347,0.0015012168,0.0008270725,0.0005719143,0.98773044,0.002896432,0.00064155995,0.0019818747
6,0.021130305,0.7033004,0.0034177825,0.07598098,0.011998076,0.016168213,0.11902418,0.033766564,0.004766965,0.010446517
4,0.52442366,0.044853143,0.029974086,0.022701154,0.043204978,0.0077907923,0.09871323,0.17039186,0.022883829,0.035063315
13,0.010251681,0.020178914,0.07301641,0.010037412,0.025216766,0.620733,0.076512866,0.00913326,0.09321008,0.061709553
961,0.0009620548,0.0011416906,0.0029129318,0.0032976503,0.00086411915,0.0013513328,0.00435206,0.000766904,0.9830251,0.0013262512
14,0.02177269,0.09687037,0.011312326,0.012807273,0.0150484145,0.0063480614,0.7086193,0.02013493,0.014870861,0.0922158
9,0.0039792773,0.0006064125,0.98991287,0.000612336,0.0005268015,0.00079466857,0.0017230329,0.00089359,0.0003308163,0.00062019605
1121,0.0642365,0.16394766,0.014404972,0.10316119,0.028492663,0.013525117,0.23959662,0.035876088,0.027229354,0.30952984
9,0.00060737814,0.0013894739,0.9534932,0.00044137493,0.0005735167,0.0023176293,0.0010800953,0.00071244396,0.03845794,0.000926954
14,0.026640657,0.047526486,0.010502785,0.023707468,0.023132134,0.008787132,0.4410904,0.024843454,0.020378888,0.3733906
6,0.048367936,0.6734675,0.0040811654,0.033278268,0.014453548,0.021061203,0.15742353,0.025574975,0.006309406,0.015982496
9,0.0026483939,0.005681914,0.8348899,0.0019993242,0.007828481,0.12816745,0.004846165,0.003227203,0.0058616907,0.0048494684
961,0.010797282,0.0038245786,0.046372347,0.0011607219,0.0069623925,0.0015099542,0.02011875,0.0032109576,0.90173686,0.0043061776
961,0.0874216,0.030439423,0.042701297,0.008012098,0.031126723,0.043678496,0.15232027,0.010475659,0.5776696,0.01615485
6,0.13353167,0.59200704,0.019047184,0.049998164,0.06048402,0.011009568,0.07367798,0.030435283,0.014152657,0.015656414
