Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
24923.88043,4615.98855,31252.0365,130267.1855,665.302123,9563.659958,20460.78068,178.767127,10274.5081,970.052748,4351.4315,55244.68673,004
194.079128,154.791086,187138.8798,20630.44588,18.264541,58.081408,741.625144,34.623938,3302.302387,335.252079,2528.584821,715.839735,004
280.453136,1140.175292,102610.6606,5950.804124,2061.314797,406.147376,351.675512,4129.64452,1069.900339,483.930337,1988.100003,481.810449,004
497415.0172,70247.94242,261034.538,581827.1525,11504.32837,13648.16739,352963.216,184.486658,114265.9401,12650.12969,16012.19697,303333.1675,006
5324.503007,871.840942,1449967.599,86740.52441,71.830753,285.508834,25627.97407,70.494001,34613.94656,3085.872587,9473.877779,4486.024001,006
1180.876464,1384.419323,696226.389,25143.75564,2703.183935,238.44843,7290.198571,5269.164564,11351.56458,1650.320902,4640.292158,1329.468157,006
1518085.716,324852.0949,261684.7839,632600.4577,10233.84079,818.436052,387156.9979,761.521345,116062.6361,12551.77049,13325.74114,732728.9071,006
13181.98437,2601.289405,1335313.468,96041.47855,105.91461,38.97369,27674.14408,87.439824,35288.60726,3189.643908,9061.227862,8934.487107,006
3648.288897,1670.508616,660773.8232,29260.79964,2674.951315,58.255085,7925.424262,5060.528021,11217.56819,1721.42983,4546.701393,2474.085261,006
1555810.648,333441.7647,268890.1149,650336.2087,10232.50592,820.38093,390745.3388,541.910971,119720.0885,13065.43595,13786.61393,746543.6772,006
13324.73552,2506.969515,1374723.822,98631.09353,69.658383,60.811521,28662.54106,58.95681,35883.56525,3184.281179,9221.006878,9216.739292,006
3502.952788,1679.484097,686428.9414,29983.60735,2339.284674,225.724483,8213.527931,5215.97915,11808.38982,1831.411854,4707.352222,2775.584574,006
333444.4107,69112.70348,175692.8322,194527.6471,11950.00403,12631.96296,277428.5457,258.970623,179679.6498,17131.48789,17223.51597,597903.376,009
3194.267973,867.560113,875349.1704,29742.04857,47.492413,350.248963,9080.711289,133.770687,54436.22056,4400.354725,3787.642931,7892.554155,009
739.871572,1688.855408,399692.8589,8083.196814,2966.67934,272.658402,2344.110884,6270.047516,16038.4218,1968.395605,2451.10426,1996.180519,009
277605.5894,60445.6437,146984.2128,226839.1938,11910.61088,13162.70833,170226.8625,385.946728,187910.2213,17318.20077,15239.68249,764952.9041,009
2734.365798,783.530057,733443.6677,34214.14104,53.410777,271.713139,7081.357768,131.562877,57245.86757,4618.350767,2744.896335,9727.191504,009
643.546117,1721.483824,339564.3322,9236.891944,3083.88688,280.905098,1912.13918,6263.196846,16799.92205,2257.679516,1784.877519,2550.503098,009
