iter	Passed	Remaining
0	68	20450
1	71	10721
2	74	7378
3	76	5643
4	77	4600
5	80	3934
6	82	3435
7	83	3059
8	85	2765
9	87	2523
10	88	2326
11	90	2166
12	91	2028
13	93	1912
14	95	1808
15	96	1720
16	98	1637
17	99	1563
18	101	1497
19	102	1436
20	104	1382
21	105	1334
22	107	1290
23	108	1247
24	110	1211
25	111	1176
26	113	1145
27	114	1114
28	116	1085
29	117	1059
30	119	1034
31	120	1011
32	122	990
33	123	969
34	125	950
35	127	933
36	128	914
37	130	897
38	131	882
39	133	868
40	135	856
41	137	841
42	138	828
43	140	815
44	142	804
45	143	792
46	145	781
47	146	769
48	148	758
49	149	747
50	150	736
51	152	726
52	153	716
53	155	706
54	156	697
55	158	688
56	159	679
57	160	671
58	162	662
59	163	654
60	164	646
61	166	638
62	167	631
63	169	625
64	171	618
65	172	611
66	173	604
67	174	597
68	176	590
69	177	584
70	179	578
71	180	572
72	182	566
73	183	561
74	185	555
75	186	549
76	187	543
77	189	538
78	190	533
79	192	528
80	193	522
81	194	517
82	195	512
83	197	507
84	198	502
85	200	498
86	201	493
87	203	489
88	204	485
89	206	480
90	207	476
91	208	472
92	210	468
93	211	464
94	213	460
95	214	455
96	215	451
97	217	447
98	218	443
99	220	440
100	220	434
101	221	430
102	223	426
103	224	423
104	225	419
105	227	415
106	228	412
107	230	409
108	231	406
109	233	402
110	234	399
111	236	396
112	237	392
113	238	389
114	240	386
115	241	383
116	243	380
117	245	377
118	246	375
119	248	372
120	249	368
121	250	365
122	252	362
123	253	359
124	255	357
125	256	354
126	258	351
127	260	349
128	261	346
129	262	342
130	263	340
131	265	337
132	266	334
133	267	331
134	269	329
135	270	326
136	272	323
137	273	321
138	275	318
139	277	316
140	278	314
141	280	312
142	282	309
143	283	307
144	284	304
145	286	302
146	287	299
147	289	296
148	290	294
149	291	291
150	293	289
151	294	286
152	296	284
153	297	281
154	297	278
155	299	276
156	300	273
157	301	271
158	303	269
159	304	266
160	306	264
161	306	261
162	308	259
163	309	256
164	311	254
165	312	252
166	314	250
167	315	247
168	316	245
169	318	243
170	319	241
171	321	239
172	322	236
173	323	234
174	325	232
175	326	229
176	327	227
177	329	225
178	330	223
179	331	221
180	333	219
181	334	217
182	336	214
183	337	212
184	338	210
185	340	208
186	342	206
187	344	205
188	345	202
189	346	200
190	348	198
191	349	196
192	351	194
193	352	192
194	354	190
195	356	188
196	357	186
197	358	184
198	359	182
199	361	180
200	362	178
201	364	176
202	365	174
203	367	172
204	368	170
205	369	168
206	371	166
207	372	164
208	373	162
209	375	160
210	376	158
211	377	156
212	379	154
213	380	153
214	382	151
215	383	149
216	384	147
217	386	145
218	387	143
219	389	141
220	390	139
221	392	137
222	393	135
223	394	133
224	396	132
225	397	130
226	398	128
227	399	126
228	401	124
229	402	122
230	404	120
231	405	118
232	407	117
233	408	115
234	409	113
235	411	111
236	412	109
237	413	107
238	415	105
239	416	104
240	417	102
241	419	100
242	420	98
243	421	96
244	423	95
245	424	93
246	426	91
247	427	89
248	429	88
249	431	86
250	432	84
251	434	82
252	435	80
253	437	79
254	438	77
255	440	75
256	441	73
257	443	72
258	444	70
259	445	68
260	446	66
261	448	65
262	449	63
263	451	61
264	452	59
265	453	58
266	455	56
267	456	54
268	458	52
269	459	51
270	460	49
271	462	47
272	463	45
273	465	44
274	466	42
275	467	40
276	468	38
277	470	37
278	471	35
279	473	33
280	474	32
281	476	30
282	477	28
283	479	26
284	480	25
285	481	23
286	483	21
287	484	20
288	485	18
289	487	16
290	488	15
291	490	13
292	491	11
293	493	10
294	494	8
295	496	6
296	497	5
297	499	3
298	500	1
299	501	0
