iter	MultiClass
0	2.268282571
1	2.221667704
2	2.178298784
3	2.149372306
4	2.102027441
5	2.061826559
6	2.028404356
7	1.987778446
8	1.953191372
9	1.9216991
10	1.892599964
11	1.857870536
12	1.818594671
13	1.78182487
14	1.758668121
15	1.728723188
16	1.700940477
17	1.671506162
18	1.640810315
19	1.606008628
20	1.575389593
21	1.55048989
22	1.523968852
23	1.504859784
24	1.488049247
25	1.471443496
26	1.457290689
27	1.436501059
28	1.418855261
29	1.397951999
30	1.372298185
31	1.348405891
32	1.334974455
33	1.317524885
34	1.303467856
35	1.290113478
36	1.26409888
37	1.23942166
38	1.224712825
39	1.209865128
40	1.190484558
41	1.17804927
42	1.160456115
43	1.14037942
44	1.12328274
45	1.110329077
46	1.102227144
47	1.090504591
48	1.074507469
49	1.061672416
50	1.040891753
51	1.031390899
52	1.017134801
53	1.004013355
54	0.9930938414
55	0.9853624032
56	0.9721125826
57	0.9603770646
58	0.9401581303
59	0.9251142571
60	0.911075833
61	0.9009775691
62	0.8903474293
63	0.8778111856
64	0.8686363735
65	0.8625398397
66	0.8481820866
67	0.8413778314
68	0.8350092151
69	0.8270177919
70	0.8171128921
71	0.8087122584
72	0.7989826558
73	0.7898531913
74	0.7844246018
75	0.7763878532
76	0.7684643022
77	0.7600385025
78	0.7507453901
79	0.7453933524
80	0.7379379176
81	0.7326578057
82	0.7242867075
83	0.7142614743
84	0.7047552938
85	0.7010628231
86	0.6932703384
87	0.6844101482
88	0.6801055761
89	0.6711742276
90	0.6635590889
91	0.6548597875
92	0.64863324
93	0.6408333342
94	0.6327600026
95	0.6266214995
96	0.623389025
97	0.6161808977
98	0.6110987971
99	0.6073155363
100	0.6036668635
101	0.5971022335
102	0.5899097057
103	0.5879814013
104	0.5832856968
105	0.5767351744
106	0.5708290349
107	0.5668982223
108	0.5633436145
109	0.5584607618
110	0.552725059
111	0.5486397993
112	0.54510481
113	0.5435532662
114	0.5402116602
115	0.5343529861
116	0.5270654368
117	0.5227501737
118	0.5162878342
119	0.5118736833
120	0.505462932
121	0.5004370287
122	0.4966000879
123	0.4926523369
124	0.4885256928
125	0.4855622686
126	0.4843725745
127	0.4833911253
128	0.4795798715
129	0.4771694127
130	0.4720908786
131	0.4690010302
132	0.4660813093
133	0.4601075897
134	0.4561478289
135	0.4520155612
136	0.4485530612
137	0.4459043736
138	0.4420662843
139	0.4379693544
140	0.4327017253
141	0.4277296508
142	0.4246676818
143	0.4221923996
144	0.4201399362
145	0.4176853799
146	0.4153977619
147	0.410437904
148	0.4060950795
149	0.4018181743
