iter	Passed	Remaining
0	6	989
1	11	863
2	16	832
3	22	807
4	27	797
5	32	786
6	37	774
7	42	761
8	47	746
9	53	742
10	58	741
11	63	728
12	68	722
13	73	713
14	78	705
15	83	701
16	88	693
17	93	686
18	98	681
19	103	675
20	108	668
21	113	660
22	118	655
23	123	649
24	128	641
25	133	637
26	139	633
27	144	629
28	149	624
29	154	618
30	159	613
31	164	607
32	169	601
33	174	595
34	179	589
35	184	582
36	188	576
37	193	571
38	198	566
39	203	560
40	209	556
41	214	550
42	218	544
43	223	538
44	228	533
45	233	528
46	239	524
47	246	524
48	253	521
49	258	517
50	264	514
51	271	511
52	279	511
53	286	510
54	292	504
55	297	499
56	302	493
57	307	487
58	312	481
59	317	475
60	322	470
61	327	464
62	331	458
63	336	452
64	341	446
65	346	440
66	351	434
67	355	429
68	361	423
69	366	418
70	370	412
71	375	406
72	379	400
73	384	394
74	389	389
75	394	384
76	399	378
77	404	373
78	409	368
79	414	363
80	419	357
81	424	352
82	431	347
83	436	343
84	442	338
85	448	333
86	453	328
87	458	323
88	463	317
89	468	312
90	473	307
91	478	301
92	483	296
93	488	291
94	493	285
95	498	280
96	504	275
97	508	270
98	513	264
99	518	259
100	523	254
101	528	248
102	533	243
103	538	238
104	543	233
105	548	227
106	553	222
107	559	217
108	564	212
109	569	206
110	574	201
111	579	196
112	584	191
113	589	186
114	595	181
115	600	175
116	605	170
117	610	165
118	615	160
119	620	155
120	626	150
121	631	145
122	636	139
123	641	134
124	647	129
125	652	124
126	658	119
127	663	114
128	665	108
129	670	103
130	675	97
131	679	92
132	685	87
133	690	82
134	694	77
135	700	72
136	705	66
137	710	61
138	715	56
139	721	51
140	726	46
141	731	41
142	736	36
143	741	30
144	747	25
145	752	20
146	757	15
147	762	10
148	768	5
149	773	0
