Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
24923.880433,4615.98855,31252.036503,130267.185493,665.302123,9563.659958,20460.780678,178.767127,10274.508101,970.052748,4351.4315,55244.686727,004
194.079128,154.791086,187138.879771,20630.445876,18.264541,58.081408,741.625144,34.623938,3302.302387,335.252079,2528.584821,715.839735,004
280.453136,1140.175292,102610.660603,5950.804124,2061.314797,406.147376,351.675512,4129.64452,1069.900339,483.930337,1988.100003,481.810449,004
497415.017171,70247.942416,261034.538041,581827.152477,11504.328367,13648.167389,352963.21596,184.486658,114265.940071,12650.129694,16012.196967,303333.167457,006
5324.503007,871.840942,1449967.599165,86740.524412,71.830753,285.508834,25627.974066,70.494001,34613.94656,3085.872587,9473.877779,4486.024001,006
1180.876464,1384.419323,696226.389043,25143.755635,2703.183935,238.44843,7290.198571,5269.164564,11351.564583,1650.320902,4640.292158,1329.468157,006
1518085.716486,324852.094922,261684.783945,632600.457654,10233.840794,818.436052,387156.997908,761.521345,116062.636138,12551.770485,13325.741138,732728.90705,006
13181.98437,2601.289405,1335313.46782,96041.478552,105.91461,38.97369,27674.14408,87.439824,35288.607256,3189.643908,9061.227862,8934.487107,006
3648.288897,1670.508616,660773.823165,29260.799638,2674.951315,58.255085,7925.424262,5060.528021,11217.568189,1721.42983,4546.701393,2474.085261,006
1555810.648279,333441.764748,268890.114923,650336.208709,10232.505924,820.38093,390745.33876,541.910971,119720.088529,13065.435948,13786.613933,746543.677178,006
13324.735518,2506.969515,1374723.822126,98631.093526,69.658383,60.811521,28662.541056,58.95681,35883.565249,3184.281179,9221.006878,9216.739292,006
3502.952788,1679.484097,686428.941369,29983.607353,2339.284674,225.724483,8213.527931,5215.97915,11808.389821,1831.411854,4707.352222,2775.584574,006
31098.144792,5406.436218,22829.368104,133323.009647,716.559765,7111.566312,23925.410037,42.919353,7333.959057,956.035172,3931.722809,25064.82368,007
314.582948,173.866519,128796.596827,19995.446109,22.568263,57.676783,874.068178,62.389203,2289.662918,322.70595,3282.515656,350.946866,007
318.646324,1156.095614,75536.597489,5667.537823,2043.346648,211.823899,480.661577,4025.046624,827.966343,430.667493,2605.585048,362.784973,007
333444.410725,69112.703477,175692.832224,194527.647105,11950.004025,12631.962959,277428.545653,258.970623,179679.649837,17131.487889,17223.515967,597903.376036,009
3194.267973,867.560113,875349.170377,29742.04857,47.492413,350.248963,9080.711289,133.770687,54436.22056,4400.354725,3787.642931,7892.554155,009
739.871572,1688.855408,399692.858887,8083.196814,2966.67934,272.658402,2344.110884,6270.047516,16038.421799,1968.395605,2451.10426,1996.180519,009
277605.589438,60445.643695,146984.212833,226839.193753,11910.610875,13162.708334,170226.862523,385.946728,187910.221266,17318.200771,15239.682492,764952.904069,009
2734.365798,783.530057,733443.667657,34214.141037,53.410777,271.713139,7081.357768,131.562877,57245.867566,4618.350767,2744.896335,9727.191504,009
643.546117,1721.483824,339564.332194,9236.891944,3083.88688,280.905098,1912.13918,6263.196846,16799.922046,2257.679516,1784.877519,2550.503098,009
278119.515285,60226.888046,148623.452141,228412.876376,10866.974793,13114.886079,164095.301564,191.371397,188760.313995,17278.785752,14696.039498,772067.861657,009
2749.542156,822.404446,734007.634371,34410.939371,37.451566,249.691504,6987.457102,104.872489,56931.680387,4707.129513,2666.653034,9707.297828,009
665.528856,1606.992797,339082.171114,9244.065765,3093.395139,275.256898,1838.777967,6295.213871,16401.021716,2083.354751,1925.026349,2565.130458,009
280510.174904,60279.667296,147429.002497,230819.883549,11149.160196,12862.82455,162609.173782,246.040215,191528.452954,17755.321843,14827.336317,775714.788188,009
2699.459874,745.29587,737672.543845,34455.064566,46.800072,283.993772,6954.944575,116.483767,57318.05143,4812.698264,2345.875168,9926.011758,009
655.401086,1530.397464,340491.44493,9374.967858,3005.132715,259.365531,1698.175705,6262.871156,16886.220688,2276.503622,1971.226709,2568.667195,009
753295.682563,254350.573469,178314.085013,227568.752691,3703.564918,1093.047682,145124.971321,499.034791,219344.732539,17852.951532,12754.971062,1329469.260152,009
5714.701902,1962.368414,792250.490933,32298.453677,16.995315,92.918984,7310.58342,74.432983,60744.505642,5378.255741,2922.067157,13344.676624,009
1440.854932,1693.729759,362379.285616,9247.49831,3159.607271,87.558637,2223.968144,6282.092426,18100.324062,2501.901515,2063.718705,3365.716384,009
750052.832129,254592.873608,177944.945307,225600.139565,3573.299946,912.592921,145455.899535,372.663075,218034.195906,18141.448081,12166.243415,1325643.110148,009
5445.767049,1947.867689,791428.776778,32838.518777,47.407863,31.333825,7380.941022,122.69908,60894.504396,5098.35237,3226.469007,13404.128715,009
1381.175749,1789.539947,360852.144079,9227.074189,3270.118439,171.079144,1953.702731,6452.127991,17813.98672,2368.395865,2016.262772,3365.568928,009
1799937.749028,576167.288342,250911.151787,608775.256839,8423.264229,1709.552801,537870.0892,415.335985,231823.108916,17580.865598,13744.935719,984891.125623,010
16969.700384,5209.029785,1484107.414162,99273.383859,89.79605,72.618276,48450.160698,71.803582,81930.87803,5622.781822,12024.04134,12624.874206,010
4187.480365,2363.805708,773200.359326,30366.257594,2275.659992,119.046991,13866.880841,4293.967774,27826.716941,2853.88945,5870.641395,3659.906586,010
738097.286912,155609.167734,220914.301189,561427.222336,9187.876212,12543.195927,481446.921411,371.64986,217608.394515,16276.626167,13964.763033,598000.228682,010
8669.299053,2060.541754,1382054.257983,93038.59072,39.321833,267.75651,43975.246879,83.730014,76631.723079,5254.789892,11099.191406,8963.399352,010
2132.072001,1529.157364,711748.68616,27964.238633,2280.49465,105.971452,12389.638587,4433.146376,25338.188807,2824.577587,5551.082314,2645.740563,010
1800693.660976,577735.599596,251497.653669,606546.011778,8537.999774,1562.14645,538994.51797,423.923898,232167.306356,18337.363166,13899.857545,984820.956557,010
16865.813006,5263.090674,1484292.292797,99527.723343,47.415616,122.060186,48759.531967,47.15595,82227.280927,5780.089809,11581.011754,12643.725917,010
4434.518885,2275.070945,774285.583729,30933.238123,2079.252853,86.067631,14135.481296,4168.620897,27684.026156,2924.790385,5964.902515,3532.401097,010
1920345.455323,465493.919218,259000.790932,522368.27111,12581.781273,1010.618288,598810.330726,810.325808,178821.252825,19606.384932,18575.432152,160345.205611,011
17079.667462,3818.301467,1507908.715819,80489.937497,82.598185,19.278473,50855.218511,55.046352,58465.362829,5136.435624,18197.406727,1977.084388,011
4383.096641,2055.983424,754972.79316,24690.013977,2557.55201,313.611141,14285.674603,4508.851182,18979.271456,2292.901279,8915.947802,705.95937,011
1923479.528728,466297.65128,258868.837245,527100.783704,12380.452872,1059.095672,597755.490723,861.054231,179242.830108,19034.855167,18814.960605,161071.60401,011
17093.537445,3849.538097,1508783.574437,80361.451417,53.529781,28.00976,50843.483417,39.679661,57948.952245,5149.651331,18028.385065,1992.738578,011
4410.785053,1981.383121,756843.471761,24474.231384,2295.900859,137.848138,14503.566835,4964.569316,18749.388618,2439.281536,8678.625211,692.861388,011
541468.994326,64923.080044,183275.854405,791869.619705,11999.885034,13957.808581,244666.784702,123.892255,117577.114215,13243.200748,17065.54252,427996.650285,012
5654.387957,926.528284,1071724.247198,118956.522336,59.680491,322.933526,15417.509412,80.633021,38771.533633,3665.383836,10361.326133,5715.423775,012
1538.060046,1541.765567,510524.257399,32861.541197,2750.845518,340.380747,4300.526782,5569.11294,11544.845436,2018.499836,5259.710338,1496.663185,012
143915.785504,29192.718591,18396.630534,25683.16562,711.702247,14136.193342,73367.999813,70.892808,23649.357682,2868.104756,1286.67382,22272.418886,013
1476.943724,374.036867,103373.746938,3239.231899,38.620584,83.430673,5828.328733,31.110482,7613.593254,818.722674,645.376576,218.739682,013
499.43896,1220.661064,62510.850485,1044.881924,1886.736346,239.053154,1768.12556,4074.586971,2409.864854,659.825873,1378.160612,352.872669,013
650646.228126,120872.208274,210631.751783,192740.428316,12875.484936,12104.478442,542974.805919,76.273114,225053.112949,22930.246606,15384.008722,666923.009197,013
7695.64334,1585.428174,1253750.706735,33242.106718,47.747645,322.91726,34478.057862,50.216022,81528.028705,7737.542069,6283.793987,9635.614852,013
2098.173965,1436.810624,608962.167423,9935.836756,2609.858731,234.191373,9869.702194,5029.599479,26930.592821,3356.552785,3162.117181,2646.710573,013
949838.886227,275620.1369,180062.714796,164841.145977,4883.175323,1026.750775,274658.431985,8680.608925,164641.35365,18301.529739,11597.662003,1399837.932992,013
8814.477142,2566.758764,990278.448119,26751.571547,89.107736,118.879829,23942.707144,180.315013,56305.220762,5584.976959,4342.560256,20406.814544,013
2356.159029,1714.926219,470727.945325,7989.607533,2570.40872,89.642611,6541.291031,5345.36812,18151.061833,2468.474043,2525.628735,5218.95082,013
953348.658066,278590.601383,180584.660329,166018.243429,5281.66636,740.860156,273887.159478,9050.094953,166274.667956,18421.050695,11136.026605,1407912.715006,013
8728.289227,2421.908402,993840.146808,27154.107178,26.996279,161.960346,24419.252464,118.169242,56723.693942,5033.982768,4459.824048,20224.585194,013
2275.472822,1847.657291,472024.617949,7941.417367,2577.523062,321.745258,6678.370358,5391.451663,18191.893605,2554.76155,2585.703757,5158.245174,013
950198.286788,277795.051214,181378.114897,165828.489332,4903.974707,710.338228,274257.603664,9011.794541,165294.170809,18131.455536,11360.433679,1406579.297008,013
9068.564659,2513.660555,992802.005415,26981.813221,61.127609,59.659959,24514.566984,178.281889,56285.660475,5415.336572,4426.357633,20266.812184,013
2328.350874,1654.297203,471702.866733,7856.588552,2610.761306,212.267139,6566.14278,5212.888258,18148.514355,2539.460119,2628.693072,5354.515532,013
50767.96559,9117.219769,14112.568886,62671.463475,407.165415,4900.052843,25649.049829,32.497631,13065.136182,1212.229369,1519.438508,31325.169803,014
569.200378,152.58501,85016.894069,10566.04966,42.122897,53.859801,1560.836106,12.990919,4223.920622,396.3469,1022.351173,555.510829,014
380.686949,1145.716499,60182.555262,3350.474669,2066.30806,287.589129,642.828859,3900.603403,1473.260216,392.923975,1745.688176,493.43615,014
443170.010356,74041.638024,134457.225847,897630.865598,11227.437489,13519.272245,221158.673168,259.086101,122274.215491,12340.189027,16364.703486,599702.950154,014
5022.227999,1054.940068,833637.789491,174177.650249,57.582628,261.797165,14487.740765,84.446589,42056.082851,3366.282643,10373.082365,8898.676939,014
1131.169721,1326.227363,435595.375327,53360.239572,2543.467261,81.087187,3794.054356,4863.626928,13096.36293,1905.911169,5437.060639,2300.575254,014
1191878.518647,298842.964671,161240.097733,1059779.02267,7310.233555,1602.618831,240798.626896,326.136722,143044.321697,13073.568178,14384.343477,1042143.266496,014
